"source","term_id","term_name","term_size","query_size","intersection_size","p_value","precision","recall","intersection"
"GO:BP","GO:0048511","rhythmic process",151,91,8,9.06559532675404e-05,0.0879120879120879,0.0529801324503311,"AT1G01060,AT1G68050,AT5G58140,AT5G37260,AT3G48360,AT3G46640,AT2G46830,AT2G21660"
"GO:BP","GO:0007623","circadian rhythm",142,91,8,9.06559532675404e-05,0.0879120879120879,0.0563380281690141,"AT1G01060,AT1G68050,AT5G58140,AT5G37260,AT3G48360,AT3G46640,AT2G46830,AT2G21660"
"GO:BP","GO:0050896","response to stimulus",6002,91,47,0.000211888306565706,0.516483516483517,0.00783072309230257,"AT1G72330,AT1G01060,AT1G52690,AT1G72940,AT1G36060,AT1G70790,AT1G56300,AT1G68050,AT1G67120,AT1G06160,AT5G26220,AT5G46870,AT5G58140,AT5G02020,AT5G40820,AT5G24655,AT5G56550,AT5G49730,AT5G63160,AT3G48360,AT3G62930,AT3G15354,AT3G21110,AT3G55160,AT2G44080,AT2G40670,AT2G25790,AT2G40030,AT2G26020,AT2G38170,AT2G47260,AT2G19450,AT2G26010,AT2G46830,AT2G40300,AT2G33830,AT2G27820,AT2G21660,AT4G16260,AT4G04955,AT4G26080,AT4G33010,AT4G12410,AT4G04850,AT4G34810,AT4G38620,AT4G20910"
"GO:BP","GO:0065007","biological regulation",5330,91,42,0.00072269494948754,0.461538461538462,0.00787992495309569,"AT1G01060,AT1G52690,AT1G72940,AT1G36060,AT1G70790,AT1G74450,AT1G68050,AT1G67120,AT1G06160,AT5G58140,AT5G40820,AT5G48250,AT5G37260,AT5G24655,AT5G16560,AT5G56550,AT5G63160,AT3G06740,AT3G48360,AT3G46640,AT3G62930,AT3G15354,AT3G55160,AT3G56290,AT3G21460,AT2G44080,AT2G40670,AT2G25790,AT2G34780,AT2G38250,AT2G40030,AT2G38170,AT2G47260,AT2G19450,AT2G46830,AT2G45080,AT2G21660,AT4G26080,AT4G13750,AT4G04850,AT4G38620,AT4G20910"
"GO:BP","GO:0009628","response to abiotic stimulus",2131,91,24,0.00072269494948754,0.263736263736264,0.011262318160488,"AT1G72330,AT1G01060,AT1G52690,AT1G72940,AT1G36060,AT1G68050,AT5G58140,AT5G02020,AT5G40820,AT5G24655,AT5G56550,AT5G49730,AT3G48360,AT3G15354,AT3G55160,AT2G25790,AT2G38170,AT2G19450,AT2G46830,AT2G27820,AT2G21660,AT4G26080,AT4G04850,AT4G38620"
"GO:BP","GO:0050789","regulation of biological process",5102,91,40,0.00140502592220545,0.43956043956044,0.00784006272050176,"AT1G01060,AT1G72940,AT1G36060,AT1G70790,AT1G74450,AT1G68050,AT1G67120,AT1G06160,AT5G58140,AT5G40820,AT5G48250,AT5G37260,AT5G24655,AT5G16560,AT5G56550,AT5G63160,AT3G06740,AT3G48360,AT3G46640,AT3G62930,AT3G15354,AT3G55160,AT3G56290,AT3G21460,AT2G44080,AT2G40670,AT2G25790,AT2G34780,AT2G38250,AT2G40030,AT2G38170,AT2G47260,AT2G19450,AT2G46830,AT2G45080,AT2G21660,AT4G26080,AT4G04850,AT4G38620,AT4G20910"
"GO:BP","GO:0042754","negative regulation of circadian rhythm",3,91,2,0.00534008287987122,0.021978021978022,0.666666666666667,"AT1G01060,AT2G46830"
"GO:BP","GO:0009409","response to cold",410,91,9,0.00534008287987122,0.0989010989010989,0.0219512195121951,"AT1G01060,AT1G52690,AT3G48360,AT3G55160,AT2G38170,AT2G19450,AT2G46830,AT2G21660,AT4G26080"
"GO:BP","GO:0009314","response to radiation",781,91,12,0.0083783408652481,0.131868131868132,0.0153649167733675,"AT1G01060,AT1G68050,AT5G58140,AT5G40820,AT5G24655,AT5G56550,AT5G49730,AT3G15354,AT2G46830,AT2G27820,AT4G04850,AT4G38620"
"GO:BP","GO:0042221","response to chemical",2940,91,26,0.00892823835269433,0.285714285714286,0.00884353741496599,"AT1G52690,AT1G72940,AT1G36060,AT1G70790,AT1G56300,AT1G67120,AT1G06160,AT5G26220,AT5G40820,AT5G24655,AT5G56550,AT5G63160,AT3G48360,AT3G62930,AT3G21110,AT2G44080,AT2G40670,AT2G47260,AT2G19450,AT2G40300,AT2G21660,AT4G26080,AT4G33010,AT4G12410,AT4G04850,AT4G34810"
